Mês,Data,ID_Transacao,Produto,Categoria,Regiao,Quantidade,Preco_Unitario,Receita_Total
Abril,2025-04-09,TRANS_20250409_0001,Fone de Ouvido,Acessorios,Centro-Oeste,4,1338.36,5353.44
Abril,2025-04-20,TRANS_20250420_0002,Monitor,Eletronicos,Centro-Oeste,1,245.26,245.26
Abril,2025-04-19,TRANS_20250419_0003,Fone de Ouvido,Perifericos,Centro-Oeste,4,851.59,3406.36
Abril,2025-04-26,TRANS_20250426_0004,Webcam,Perifericos,Nordeste,1,1448.08,1448.08
Abril,2025-04-20,TRANS_20250420_0005,Monitor,Eletronicos,Sudeste,2,1027.75,2055.5
Abril,2025-04-10,TRANS_20250410_0006,Monitor,Acessorios,Norte,3,740.96,2222.88
Abril,2025-04-08,TRANS_20250408_0007,Roteador,Perifericos,Sul,1,109.63,109.63
Abril,2025-04-02,TRANS_20250402_0008,Roteador,Perifericos,Centro-Oeste,4,837.3,3349.2
Abril,2025-04-11,TRANS_20250411_0009,Impressora,Perifericos,Norte,3,330.23,990.69
Abril,2025-04-14,TRANS_20250414_0010,Webcam,Eletronicos,Nordeste,4,362.06,1448.24
Abril,2025-04-30,TRANS_20250430_0011,Roteador,Perifericos,Sudeste,3,82.97,248.91
Abril,2025-04-20,TRANS_20250420_0012,Webcam,Perifericos,Centro-Oeste,3,963.84,2891.52
Abril,2025-04-06,TRANS_20250406_0013,Fone de Ouvido,Eletronicos,Norte,1,433.11,433.11
Abril,2025-04-15,TRANS_20250415_0014,Teclado,Perifericos,Centro-Oeste,1,636.05,636.05
Abril,2025-04-27,TRANS_20250427_0015,Mouse,Acessorios,Norte,3,526.89,1580.67
Abril,2025-04-04,TRANS_20250404_0016,Teclado,Eletronicos,Norte,1,1316.54,1316.54
Abril,2025-04-26,TRANS_20250426_0017,Roteador,Eletronicos,Centro-Oeste,2,1473.13,2946.26
Abril,2025-04-13,TRANS_20250413_0018,Mouse,Acessorios,Nordeste,3,1183.28,3549.84
Abril,2025-04-30,TRANS_20250430_0019,Impressora,Perifericos,Sudeste,2,1429.27,2858.54
Abril,2025-04-25,TRANS_20250425_0020,Laptop,Acessorios,Centro-Oeste,4,455.13,1820.52
Abril,2025-04-08,TRANS_20250408_0021,Roteador,Acessorios,Sul,4,324.6,1298.4
Abril,2025-04-19,TRANS_20250419_0022,Monitor,Eletronicos,Sul,1,736.4,736.4
Abril,2025-04-09,TRANS_20250409_0023,Teclado,Acessorios,Nordeste,3,420.25,1260.75
Abril,2025-04-26,TRANS_20250426_0024,Roteador,Acessorios,Sul,2,874.5,1749.0
Abril,2025-04-06,TRANS_20250406_0025,Roteador,Eletronicos,Centro-Oeste,4,341.11,1364.44
Abril,2025-04-05,TRANS_20250405_0026,Webcam,Eletronicos,Nordeste,1,1313.2,1313.2
Abril,2025-04-25,TRANS_20250425_0027,Impressora,Eletronicos,Nordeste,4,1386.62,5546.48
Abril,2025-04-06,TRANS_20250406_0028,Teclado,Perifericos,Sudeste,3,561.71,1685.13
Abril,2025-04-15,TRANS_20250415_0029,Roteador,Eletronicos,Norte,1,1433.44,1433.44
Abril,2025-04-04,TRANS_20250404_0030,Teclado,Acessorios,Centro-Oeste,3,755.42,2266.26
Abril,2025-04-15,TRANS_20250415_0031,Impressora,Perifericos,Sudeste,2,1084.14,2168.28
Abril,2025-04-09,TRANS_20250409_0032,Monitor,Perifericos,Nordeste,3,157.44,472.32
Abril,2025-04-17,TRANS_20250417_0033,Mouse,Eletronicos,Centro-Oeste,3,350.95,1052.85
Abril,2025-04-25,TRANS_20250425_0034,Mouse,Perifericos,Sudeste,1,1263.92,1263.92
Abril,2025-04-27,TRANS_20250427_0035,Fone de Ouvido,Eletronicos,Sudeste,2,634.88,1269.76
Abril,2025-04-23,TRANS_20250423_0036,Roteador,Perifericos,Nordeste,3,1267.77,3803.31
Abril,2025-04-10,TRANS_20250410_0037,Fone de Ouvido,Eletronicos,Centro-Oeste,3,425.36,1276.08
Abril,2025-04-24,TRANS_20250424_0038,Webcam,Perifericos,Centro-Oeste,3,371.88,1115.64
